	Control_1	Control_2	Control_3	a_1	a_2	a_3	b_1	b_2	b_3
P1	5.444152745	6.566785573	6.812233434	3.811535337	5.131083481	5.125230542	4.408900524	4.629775369	5.214981331
P2	0.134216388	0.142388691	0.351898471	0.321926003	0.42922913	0.343332719	0.376903515	0.462213028	0.342565149
P3	1.609307876	1.422010834	2.25798398	1.572262019	2.232753108	1.534304685	2.104263276	2.254176691	2.254898187
P4	0.429061257	0.377513542	0.530739623	0.862860941	0.87512611	0.962928809	0.738676141	0.61435028	0.636783556
P5	0.039323787	0.614189457	0.058814106	0.054956059	2.049875666	1.304961269	0.454248317	6.189823039	4.288463759
P6	0.983452665	0.438816224	0.351440757	0.273694705	0.458174067	0.396366654	0.303059088	1.0059137	0.739135456
P7	0.167541766	0.650786101	0.42608967	0.619695739	0.371239787	0.463518997	0.299902767	0.212751557	0.082936218
P8	0.573221957	0.307041881	0.29383127	0.337560003	0.34921492	0.432229805	0.401436051	0.411867875	0.385195735
P9	0.171089897	0.127747391	0.509622386	0.083465032	0.109354174	0.081346367	0.354884069	0.203768579	0.464355826
P10	51.65234686	79.41075439	47.19026319	34.88368658	84.0383659	42.72408705	66.9012715	67.39819666	62.25990223
P11	0.523468576	0.522816753	0.708374077	1.14733033	1.447815275	1.159904094	0.814659686	1.419602905	1.175680357
P12	0.150254574	0.530479588	0.430687611	0.472830662	0.749868561	0.548727407	0.403440539	0.336743642	0.667904846
P13	2.189180589	1.231708284	1.709851243	2.254190976	1.555950266	1.939044633	2.191473448	1.79976615	2.019130836
P14	0.290795545	0.367049808	0.168981587	0.338940994	0.555978686	2.85955367	0.322213912	0.29903537	0.465491358
P15	12.58790772	10.57074911	10.40153958	11.91123255	11.90152753	15.52932497	13.7157816	13.59229195	13.58963009
P16	2.530946698	1.580472982	2.331218142	2.737020899	4.566394316	3.678624124	2.620867614	3.093787242	2.829785596
P17	0.590644391	0.09663628	0.417934048	0.478362012	0.314003552	0.275912947	0.366873598	0.223319767	0.327976443
P18	7.684089101	6.463997886	6.180796838	5.905989218	6.210728242	7.767428993	6.7776365	6.916556113	7.294545595
P19	0.149498807	0.198337957	0.048399043	0.25802378	0.060669272	0.031789008	0.389184742	0.20574281	0.208245121
P20	1.26213206	0.868754129	0.685821284	1.001329296	0.592213144	1.086315013	1.178459237	0.77862973	0.835059086
P21	0.444900557	0.543876338	0.477520025	0.435824533	0.313690941	0.479398746	0.40934181	0.536595238	0.59247854
P22	104.0254574	21.18958911	19.43326745	24.90141053	35.43872114	45.85577278	49.79506358	55.88784206	142.6536818
