gene_id	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24
Gene1	11	15	0	28	32	9	0	4	0	4	0	0	317	0	8	4	4	0	36	4	89	46	37	4
Gene2	4	96	15	166	57	22	20	12	27	21	8	8	743	26	145	301	8	25	145	41	233	158	71	99
Gene3	75	59	84	172	98	101	102	122	55	116	40	67	368	61	185	167	0	152	67	51	138	128	115	63
Gene4	43	105	60	331	35	12	21	20	0	16	5	5	1642	77	104	106	25	8	167	66	337	139	156	87
Gene5	0	6	0	40	4	4	0	0	0	0	0	0	104	16	16	29	0	12	21	4	4	20	12	4
Gene6	0	0	0	20	0	0	0	0	0	0	0	0	16	0	9	0	0	0	10	5	34	14	4	0
Gene7	4147	4386	4754	6106	4840	3608	5970	5375	3331	5019	2676	3212	31405	6198	5730	10019	1111	6463	5840	1965	5044	3840	6239	3008
Gene8	18	64	22	184	4	16	4	21	4	25	4	0	1016	12	73	143	34	20	193	72	173	111	81	69
Gene9	91	155	128	212	178	147	176	222	70	159	54	138	868	205	158	218	8	179	177	58	216	149	267	84
Gene10	412	420	457	946	467	572	424	508	466	539	168	670	2101	517	550	589	1312	836	378	339	512	518	1396	363
Gene11	2148	2013	2666	2918	4916	3680	3168	2986	2329	3744	3155	3527	12618	2668	1704	2836	5341	3401	1773	2853	2998	2377	9704	1711
Gene12	0	19	0	11	2	0	0	0	0	0	0	0	95	8	13	13	4	2	9	0	14	16	9	9
Gene13	83	158	60	176	152	202	152	144	62	214	92	120	354	277	85	285	28	291	87	133	395	158	101	99
Gene14	18598	26985	29469	32712	40045	27337	27126	42988	19886	24702	26151	31492	117707	32670	17664	36859	16049	31677	18591	18172	17982	32049	74667	23670
Gene15	72	141	12	334	36	50	44	8	9	20	25	29	1689	101	221	196	46	73	192	74	372	153	210	80
Gene16	19	168	34	172	24	9	13	18	15	22	15	16	1491	35	202	228	41	40	120	20	292	216	169	53
Gene17	4	9	0	36	8	0	0	0	4	0	0	0	263	6	24	42	0	4	12	4	60	24	24	4
Gene18	31	20	76	48	73	72	120	74	90	66	88	53	299	87	20	76	124	138	0	51	20	68	154	21
Gene19	5661	4289	3916	4320	6098	3285	24672	1528	4105	2871	4919	1711	5909	2992	8673	6064	24362	5546	3662	2975	2590	2611	6325	3946
Gene20	10340	7403	7076	7220	10738	5581	42994	2808	7102	4909	7897	3382	10521	5378	14507	10558	41266	9313	6069	4961	5035	4778	11350	6715
Gene21	0	4	13	41	0	0	0	0	0	5	0	0	173	0	34	52	0	8	20	5	30	24	6	24
Gene22	96	647	122	1111	182	186	112	183	102	113	48	62	5892	267	915	1188	76	114	824	197	978	649	588	261
Gene23	30	87	25	221	31	36	36	29	8	16	5	24	1409	44	186	143	26	48	159	50	185	145	95	49
Gene24	10	53	24	149	73	47	39	130	14	25	47	57	259	25	26	45	10	29	64	44	101	170	223	71
Gene25	8	28	0	47	20	18	12	40	56	0	17	8	45	20	31	32	41	8	12	14	14	13	16	11
Gene26	443	543	492	1211	1061	318	535	1200	103	544	136	701	4852	132	616	821	255	768	517	170	658	793	575	438
Gene27	625	466	591	1082	637	566	934	811	596	611	377	345	3632	846	650	1296	235	1080	1018	269	993	551	1047	736
Gene28	1034	1589	1515	2824	1355	1355	2236	1231	2074	1322	1274	1708	8604	1011	1956	2607	4745	1697	995	1008	968	954	2840	766
Gene29	140	100	82	224	221	172	298	183	180	138	84	140	508	181	226	376	131	235	178	107	143	156	223	100
Gene30	55	313	96	650	113	176	137	147	28	68	31	48	4175	167	285	336	63	88	595	122	968	648	537	221
Gene31	9	56	24	300	32	30	9	22	4	16	17	5	1381	37	124	92	29	9	146	72	280	112	186	40
Gene32	28	46	8	70	0	3	3	8	4	32	0	0	468	8	60	97	4	8	93	20	105	87	80	56
Gene33	244	605	181	1385	185	128	121	274	78	188	96	89	9067	278	1007	864	240	259	898	279	1910	1100	912	455
Gene34	40	191	21	275	12	86	30	68	14	60	15	30	2223	72	402	387	12	94	191	81	478	410	188	198
