"Name"	"FC"	"PValue"	"Marker"
"1"	"ID1"	0.138995	0.007489	0
"2"	"ID2"	1.192851	0.801349	0
"3"	"ID3"	0.777325	0.001722	0
"4"	"ID4"	2.416923	0.039086	1
"5"	"ID5"	0.839945	0.746802	0
"6"	"ID6"	1.804295	0.001731	1
"7"	"ID7"	2.470631	0.016434	1
"8"	"ID8"	1.759743	0.009667	1
"9"	"ID9"	0.963636	0.923319	0
"10"	"ID10"	0.74629	0.510295	0
"11"	"ID11"	0.555945	0.298725	1
"12"	"ID12"	1.293626	0.253854	0
"13"	"ID13"	0.575197	0.086415	0
"14"	"ID14"	2.107988	2.6e-05	1
"15"	"ID15"	0.453422	0.039253	0
"16"	"ID16"	0.77607	0.673541	0
"17"	"ID17"	1.065609	0.409597	0
"18"	"ID18"	0.641506	0.459082	0
"19"	"ID19"	1.166354	0.710638	0
"20"	"ID20"	0.916842	0.747874	0
"21"	"ID21"	0.362375	0.132253	0
"22"	"ID22"	1.472173	0.386702	0
"23"	"ID23"	3.156437	0.000169	1
"24"	"ID24"	1.644088	0.10767	0
"25"	"ID25"	1.570251	0.038587	1
"26"	"ID26"	3.265697	0.000212	1
"27"	"ID27"	0.54574	0.286474	0
"28"	"ID28"	0.68924	0.60811	0
"29"	"ID29"	0.808025	0.029602	0
"30"	"ID30"	0.478758	0.286992	0
"31"	"ID31"	1.326557	0.200219	0
"32"	"ID32"	0.604156	0.030452	0
"33"	"ID33"	0.669127	0.003055	0
"34"	"ID34"	1.375655	0.005362	0
"35"	"ID35"	1.453532	0.362753	0
"36"	"ID36"	25.107674	0.000107	1
"37"	"ID37"	0.343362	0.002311	0
"38"	"ID38"	0.907355	0.621426	0
"39"	"ID39"	1.318834	0.002067	0
"40"	"ID40"	2.944205	2.9e-05	1
"41"	"ID41"	1.861071	0.071543	0
"42"	"ID42"	2.889953	0.190085	0
"43"	"ID43"	0.701843	0.301858	0
"44"	"ID44"	2.347566	6.7e-05	0
"45"	"ID45"	0.983373	0.973927	0
"46"	"ID46"	0.403493	0.140093	0
"47"	"ID47"	1.28616	0.160289	0
"48"	"ID48"	86.186719	0.11454	0
"49"	"ID49"	0.482549	1.2e-05	0
"50"	"ID50"	1.116749	0.816547	0
"51"	"ID51"	2.111296	0.084413	0
"52"	"ID52"	0.583079	0.203509	0
"53"	"ID53"	1.783546	0.029928	0
"54"	"ID54"	2.748177	0.003243	0
"55"	"ID55"	0.794083	0.632812	0
"56"	"ID56"	5.628584	0.112542	0
"57"	"ID57"	1.130192	0.503133	0
"58"	"ID58"	1.327279	0.627702	0
"59"	"ID59"	1.869828	0.469121	0
"60"	"ID60"	0.575831	0.024878	0
"61"	"ID61"	1.548204	0.000504	0
"62"	"ID62"	1.207515	0.139529	0
"63"	"ID63"	0.545931	0.177748	0
"64"	"ID64"	2.665217	0.017811	0
"65"	"ID65"	0.309914	0.058855	0
"66"	"ID66"	0.879347	0.875527	0
"67"	"ID67"	2.140883	0.008876	0
"68"	"ID68"	1.506525	0.000521	0
"69"	"ID69"	0.559986	0.060027	0
"70"	"ID70"	1.616324	0.433424	0
"71"	"ID71"	1.693167	0.000828	0
"72"	"ID72"	1.080081	0.558829	0
"73"	"ID73"	0.844474	0.675798	0
"74"	"ID74"	1.585159	0.292579	0
"75"	"ID75"	1.220236	0.65507	0
"76"	"ID76"	1.842248	0.073122	0
"77"	"ID77"	0.531714	0.393539	0
"78"	"ID78"	0.094913	0.000914	0
"79"	"ID79"	1.6111	0.028421	0
"80"	"ID80"	0.008243	1e-06	0
"81"	"ID81"	2.061742	0.029562	0
"82"	"ID82"	2.312686	0.389089	0
"83"	"ID83"	4.908018	0.073846	0
"84"	"ID84"	0.934284	0.859507	0
"85"	"ID85"	2.121795	0.000113	0
"86"	"ID86"	1.250138	0.570146	0
"87"	"ID87"	2.207365	3.5e-05	0
"88"	"ID88"	0.291259	0.001611	0
"89"	"ID89"	0.014005	0	0
"90"	"ID90"	2.221955	0.004561	0
"91"	"ID91"	0.378688	0.182684	0
"92"	"ID92"	5.20067	0.009976	0
"93"	"ID93"	0.584957	0.560806	0
"94"	"ID94"	1.04542	0.954903	0
"95"	"ID95"	0.193606	0.121865	0
"96"	"ID96"	0.5763	0.000771	0
"97"	"ID97"	1.685689	0.3932	0
"98"	"ID98"	0.867807	0.791641	0
"99"	"ID99"	0.012375	0.083804	0
"100"	"ID100"	0.400973	0.060118	0
"101"	"ID101"	1.609502	0.495971	0
"102"	"ID102"	0.269238	0.080553	0
"103"	"ID103"	0.201347	0.000314	0
"104"	"ID104"	0.515267	0.378784	0
"105"	"ID105"	0.985134	0.95649	0
"106"	"ID106"	1.679429	0.623085	0
"107"	"ID107"	2.067518	0.039676	0
"108"	"ID108"	1.879494	0.054773	0
"109"	"ID109"	1.048596	0.942541	0
"110"	"ID110"	0.449327	0.286304	0
"111"	"ID111"	0.916662	0.828664	0
"112"	"ID112"	0.592079	0.497163	0
"113"	"ID113"	0.221849	0.41158	0
"114"	"ID114"	1.099842	0.716211	0
"115"	"ID115"	0.186296	0.035023	0
"116"	"ID116"	0.433268	0.125183	0
"117"	"ID117"	2.236889	0.000507	0
"118"	"ID118"	6.040942	0.010488	0
"119"	"ID119"	1.309194	0.492995	0
"120"	"ID120"	0.725174	0.708523	0
"121"	"ID121"	0.482022	0.003745	0
"122"	"ID122"	0.873797	0.720606	0
"123"	"ID123"	1.730995	0.215742	0
"124"	"ID124"	0.805525	0.717044	0
"125"	"ID125"	0.574355	0.000419	0
"126"	"ID126"	2.2289	0.003499	0
"127"	"ID127"	0.768828	0.472708	0
"128"	"ID128"	0.594887	0.001645	0
"129"	"ID129"	1.708604	0.10878	0
"130"	"ID130"	0.021624	0	0
"131"	"ID131"	3.41877	8e-06	0
"132"	"ID132"	0.98082	0.952825	0
"133"	"ID133"	1.312834	0.511053	0
"134"	"ID134"	1.257718	0.099677	0
"135"	"ID135"	1.132265	0.069821	0
"136"	"ID136"	0.752205	0.51137	0
"137"	"ID137"	0.094599	0.041181	0
"138"	"ID138"	1.557503	0.027709	0
"139"	"ID139"	1.265611	0.009518	0
"140"	"ID140"	0.074564	0.00123	0
"141"	"ID141"	1.230046	0.041449	0
"142"	"ID142"	0.837361	0.438724	0
"143"	"ID143"	1.515196	0.203422	0
"144"	"ID144"	1.15495	0.653499	0
"145"	"ID145"	0.594094	0.176515	0
"146"	"ID146"	4.257847	1.1e-05	0
"147"	"ID147"	4.809366	0.000692	0
"148"	"ID148"	1.141844	0.457635	0
"149"	"ID149"	1.439379	0.013697	0
"150"	"ID150"	0.914923	0.767442	0
"151"	"ID151"	1.834157	0.046942	0
"152"	"ID152"	0.266624	0.178262	0
"153"	"ID153"	1.759906	0.158054	0
"154"	"ID154"	0.651393	0.411368	0
"155"	"ID155"	1.270106	0.401917	0
"156"	"ID156"	1.638546	0.348412	0
"157"	"ID157"	0.937833	0.715161	0
"158"	"ID158"	1.095265	0.793217	0
"159"	"ID159"	2.148096	0.189028	0
"160"	"ID160"	1.849812	3.4e-05	0
"161"	"ID161"	0.301967	0.384204	0
"162"	"ID162"	2.305476	0.059313	0
"163"	"ID163"	4.142094	5e-06	0
"164"	"ID164"	1.419993	0.406921	0
"165"	"ID165"	2.82022	0.205194	0
"166"	"ID166"	1.448482	0.167452	0
"167"	"ID167"	0.267214	0.002213	0
"168"	"ID168"	1.270243	0.705828	0
"169"	"ID169"	1.678864	0.568731	0
"170"	"ID170"	0.917968	0.074129	0
"171"	"ID171"	1.029765	0.614602	0
"172"	"ID172"	1.708671	0.003523	0
"173"	"ID173"	1.974363	0.000518	0
"174"	"ID174"	2.226804	0.000983	0
"175"	"ID175"	1.575783	0.001218	0
"176"	"ID176"	2.193684	0.013166	0
"177"	"ID177"	0.427131	0.110995	0
"178"	"ID178"	2.181166	0.182087	0
"179"	"ID179"	2.178327	0.016512	0
"180"	"ID180"	1.219014	0.000106	0
"181"	"ID181"	1.324339	0.233105	0
"182"	"ID182"	1.608295	0.065676	0
"183"	"ID183"	0.642277	0.408566	0
"184"	"ID184"	0.679611	0.343358	0
"185"	"ID185"	0.312304	0.094883	0
"186"	"ID186"	1.323529	0.703002	0
"187"	"ID187"	0.982762	0.964516	0
"188"	"ID188"	0.775979	0.028581	0
"189"	"ID189"	0.887376	0.108382	0
"190"	"ID190"	1.310276	0.003408	0
"191"	"ID191"	0.796734	0.160857	0
"192"	"ID192"	1.13697	0.82059	0
"193"	"ID193"	0.671959	0.369776	0
"194"	"ID194"	1.982722	0.266201	0
"195"	"ID195"	3.942052	0.000179	0
"196"	"ID196"	2.546119	0.177641	0
"197"	"ID197"	4.135739	0.013413	0
"198"	"ID198"	1.991018	0.069034	0
"199"	"ID199"	1.458985	0.476982	0
"200"	"ID200"	1.679498	0.028723	0
"201"	"ID201"	2.346434	0.022464	0
"202"	"ID202"	0.488784	0.120519	0
"203"	"ID203"	1.079902	0.890035	0
"204"	"ID204"	2.245248	0.000651	0
"205"	"ID205"	1.304787	0.005794	0
"206"	"ID206"	5.11005	0.000254	0
"207"	"ID207"	0.536544	0.403697	0
"208"	"ID208"	2.488895	0.179552	0
"209"	"ID209"	2.368057	0.000339	0
"210"	"ID210"	1.805845	0.135462	0
"211"	"ID211"	2.217992	0.079761	0
"212"	"ID212"	1.876209	0.246189	0
"213"	"ID213"	1.358867	0.584409	0
"214"	"ID214"	0.766785	0.035163	0
"215"	"ID215"	1.238827	0.555751	0
"216"	"ID216"	0.530917	0.020115	0
"217"	"ID217"	1.00319	0.993538	0
"218"	"ID218"	1.940959	0.172821	0
"219"	"ID219"	0.484623	0.14776	0
"220"	"ID220"	3.605859	0.012716	0
"221"	"ID221"	1.169619	0.554171	0
"222"	"ID222"	2.061885	0.219615	0
"223"	"ID223"	1.394312	0.593874	0
"224"	"ID224"	0.683233	0.002794	0
"225"	"ID225"	0.56987	0.23156	0
"226"	"ID226"	1.603182	0.004613	0
"227"	"ID227"	0.165212	0.000184	0
"228"	"ID228"	0.46539	0.190636	0
"229"	"ID229"	0.792113	0.035161	0
"230"	"ID230"	1.47395	0.281158	0
"231"	"ID231"	1.352885	0.610213	0
"232"	"ID232"	0.200246	0.000159	0
"233"	"ID233"	1.007014	0.986366	0
"234"	"ID234"	0.674078	0.066904	0
"235"	"ID235"	1.494034	0.454827	0
"236"	"ID236"	1.276401	0.643872	0
"237"	"ID237"	0.927896	0.887174	0
"238"	"ID238"	0.552482	0.350742	0
"239"	"ID239"	1.18655	0.788951	0
"240"	"ID240"	3.181114	0.000635	0
"241"	"ID241"	1.061166	0.907627	0
"242"	"ID242"	1.740376	0.009165	0
"243"	"ID243"	7.672322	0.000112	0
"244"	"ID244"	0.74866	0.189475	0
"245"	"ID245"	2.124928	0.00068	0
"246"	"ID246"	3.612836	0.000628	0
"247"	"ID247"	0.872104	0.786901	0
"248"	"ID248"	4.000358	0.037032	0
"249"	"ID249"	1.423932	0.620941	0
"250"	"ID250"	1.466108	0.382119	0
"251"	"ID251"	2.111356	5.2e-05	0
"252"	"ID252"	1.149859	0.705158	0
"253"	"ID253"	1.373961	0.003876	0
"254"	"ID254"	0.447662	0.056952	0
"255"	"ID255"	1.054569	0.844811	0
"256"	"ID256"	15.384565	0.000329	0
"257"	"ID257"	1.238373	0.326139	0
"258"	"ID258"	0.554211	0.586747	0
"259"	"ID259"	3.114631	0.18925	0
