	Sample1	Sample2	Sample3	Sample4
Gene1	0.244348072	1.120862665	0.069914972	-0.190925744
Gene2	-3.934853601	-12.03245771	-4.220775985	-4.67689254
Gene3	0.873438695	3.749083813	0.81359667	1.323087786
Gene4	-2.486716246	-6.478860023	-1.852429827	-3.727556086
Gene5	-3.596992618	-15.29514755	-3.88385901	-4.49508811
Gene6	-4.170481348	-14.10872626	-4.302881905	-7.076084422
Gene7	-3.602892932	-9.269947232	-2.478594374	-0.426061438
Gene8	-0.688143733	-2.855036858	-0.754289715	-0.941946384
Gene9	-0.156922035	0.035680393	-0.184396124	0.283412111
Gene10	0.861282954	2.527408094	0.671097129	-0.057165812
Gene11	0.767828834	2.290419413	0.581580978	1.928451686
Gene12	-2.045539254	-7.956154499	-2.260656156	-2.116725614
Gene13	-0.50113019	-1.767262664	-0.554366876	-1.256879941
Gene14	0.824628394	1.818568656	0.86193164	0.872021166
Gene15	0.094109331	0.394423208	0.10825848	-0.489550597
Gene16	1.32670444	4.480114012	1.249241769	1.975206921
Gene17	-1.593416572	-9.842725663	-4.249109561	-5.147929723
Gene18	0.766421104	2.062215331	1.338604481	-0.669263835
Gene19	-0.660956753	-3.840905129	-1.284990199	-1.506568447
Gene20	0.824447142	2.862716454	0.951556413	2.230944811
Gene21	1.920720342	6.334918744	1.945979215	2.632597166
Gene22	-0.811595331	-2.143148245	-0.505036336	-1.440285303
Gene23	1.860240812	5.887114879	2.011119526	2.086090786
Gene24	2.077141053	5.425287784	2.093677431	3.667176126
Gene25	1.791787029	5.955010657	1.720027191	2.403002775
Gene26	1.133618706	4.938120076	1.057819694	0.912093003
Gene27	-0.025724936	0.328522589	0.084526662	0.130020663
Gene28	-2.405318585	-10.3224886	-3.092276743	-3.324373233
Gene29	0.409389342	0.650504841	0.152661807	0.136036025
Gene30	-0.871760485	-2.398699441	-0.361827236	1.061389477
Gene31	2.492723828	6.033795957	1.765760943	0.801022291
Gene32	2.691637259	8.880711939	2.654702371	3.852159993
Gene33	2.147997946	7.116646384	2.135588026	2.895846682
Gene34	3.33730785	11.22983829	3.302789901	4.605224624
Gene35	2.329477424	8.917760004	2.615250077	4.100769085
Gene36	0.207365446	0.963501813	0.248093327	-0.037097934
Gene37	0.744474925	2.518539676	0.828657888	1.258035485
Gene38	4.372152781	14.65571814	4.346375963	6.606852128
Gene39	2.095869633	6.713175813	1.941714337	3.250339732
Gene40	-0.282971178	-0.587329169	0.001005649	-0.003581408
Gene41	-1.122472581	-4.011429596	-1.049603743	-2.412305894
Gene42	-0.226636028	0.304748456	-0.270268252	-0.327975696
Gene43	-0.554550642	-1.27031468	-0.524848491	-1.419746072
Gene44	2.652207334	8.916171567	2.647601967	3.490700418
Gene45	-1.326649423	-5.88031201	-2.212263463	-1.901444052
Gene46	2.389380557	8.113938454	2.431788509	3.545668825
Gene47	1.734336765	5.941774372	1.710293267	2.674788947
Gene48	0.746305948	2.596672434	0.853674687	1.346726763
Gene49	-5.303013577	-18.06912713	-5.106165618	-5.509111179
Gene50	-0.547545149	-0.402809819	-0.337819038	-2.256715427
Gene51	-1.429261471	-4.672745394	-1.140385354	-1.503695833
Gene52	3.080845928	10.3920555	2.928878225	5.050986322
Gene53	2.397897778	7.014000926	2.175871881	4.20048645
Gene54	-0.782637048	-3.505987258	-0.774892216	-2.075959239
Gene55	1.63858135	5.086730051	1.611304741	2.120802045
Gene56	1.843152665	6.084486333	1.812101112	4.508090928
Gene57	-0.161640626	-3.362978095	-0.171454244	0.137693485
Gene58	2.367706518	8.184848223	2.389642203	4.250208761
Gene59	0.09122039	0.227743862	-0.13737485	0.859787851
Gene60	1.00837868	2.813321171	0.939423976	0.937285557
Gene61	-0.308850421	-1.888775433	-0.421415712	0.079528859
Gene62	-0.12919415	-1.198203706	-0.55666701	0.150526341
Gene63	1.688827438	5.619300475	1.698481311	1.470440171
Gene64	-1.027851605	-4.966276085	-0.772031957	0.993942852
Gene65	-3.232200049	-8.492058817	-4.343174913	-2.840990436
