Term	Size	Ratio	Enrichment
Term1	121	0.23960396	36.39507596
Term2	182	0.169459963	32.64304551
Term3	154	0.181818182	31.14888678
Term4	107	0.204198473	26.02764793
Term5	75	0.262237762	25.46241869
Term6	74	0.26056338	24.94583272
Term7	90	0.223325062	24.88977986
Term8	113	0.179080824	22.46726263
Term9	100	0.173010381	18.8671845
Term10	114	0.156808803	17.98828049
Term11	266	0.104642014	14.70244971
Term12	89	0.144480519	12.13163422
Term13	105	0.131414268	11.54260253
Term14	157	0.112625538	11.25014518
Term15	168	0.11023622	11.23547386
Term16	99	0.128404669	10.35189174
Term17	262	0.09548105	10.18008073
Term18	28	0.264150943	10.07420989
Term19	38	0.207650273	9.971691716
Term20	38	0.206521739	9.898800359
