	Shuntaiyu1	Shuntaiyu2	Shuntaiyu3	Fengchaowang1	FengchaoWang2	FengchaoWang3
Gene1	1.276788667	1.39970122	1.072416992	0.88048373	0.828562337	0.694723315
Gene2	0.019548561	0.027058954	0.014687243	0.044248741	0.057378128	0.059428388
Gene3	2.395132841	3.079370349	2.256007527	2.415867713	2.486586717	2.435719449
Gene4	0.08318267	0.14317924	0.156855571	0.083322439	0.172523892	0.068523469
Gene5	0.027406019	0.010167649	0.020571287	0.049950368	0.073194281	0.068960611
Gene6	0.015444824	0.014514344	0.013529512	0.008938481	0.022814101	0.012082793
Gene7	0.027244791	0.061977481	0.08386102	0.752735813	0.667262813	0.692130294
Gene8	0.502507993	0.424641049	0.470344575	0.533677126	0.325462745	0.481716902
Gene9	0.854770698	1.010761612	0.831606319	1.207970172	0.922570523	1.060545911
Gene10	2.366194466	2.134478657	1.956382548	0.962606527	1.312033004	1.322785318
Gene11	2.15508213	1.987993471	1.788864352	3.616962038	3.065908866	3.51641291
Gene12	0.12931044	0.091919108	0.104282037	0.24386258	0.240210224	0.306010992
Gene13	0.605845552	0.588499737	0.574435835	0.432609433	0.338157361	0.419725323
Gene14	2.281032962	1.725592719	2.36772988	1.78844664	1.90978813	1.631423753
Gene15	1.098679859	1.125612084	1.114335742	0.721540287	0.627039422	0.669171725
Gene16	3.768603241	3.834481423	3.487697474	3.731478791	3.295333604	3.279139943
Gene17	0.203230074	0.052192436	0.014276941	0.032323746	0.012024226	0.013995434
Gene18	2.152050491	1.856447285	3.813717676	0.64007118	0.543257151	0.860206294
Gene19	0.516357072	0.315918333	0.276653295	0.366272032	0.54603307	0.58455431
Gene20	2.280619557	2.360361856	2.589737224	4.425116212	4.390449962	4.814415365
Gene21	6.825873663	6.689075165	7.000483477	5.78382239	5.868818644	5.687322877
Gene22	0.444148936	0.525742109	0.603483647	0.382820066	0.488572651	0.477999472
Gene23	6.425283872	5.84820317	7.471677403	4.017770676	4.563039686	5.39830421
Gene24	7.981617242	5.091570531	8.114701616	11.52806024	13.19384251	11.26897438
Gene25	6.000165362	5.968545107	5.584680317	4.962957583	4.912169057	5.284027674
Gene26	3.106879065	4.399258583	2.880084674	1.8368681	1.819488485	2.04171782
Gene27	0.974603131	1.10357706	1.088201858	1.090548131	0.804873767	1.041763714
Gene28	0.090236743	0.045196005	0.045398476	0.109017286	0.063296431	0.030333766
Gene29	1.505897916	1.215495062	1.164930941	1.094930273	1.074434119	1.21975286
Gene30	0.41821464	0.486942208	0.696402671	2.029101298	1.409135296	2.417361772
Gene31	12.09417374	6.111295543	5.846019156	1.705766996	2.030151085	1.872941932
Gene32	14.75581524	14.35665477	14.22075292	13.04110982	13.04242876	13.6764689
Gene33	8.567688237	8.456995048	8.462020933	6.893400155	6.322401554	5.82982434
Gene34	28.14325874	29.04805378	27.1883861	21.5451288	20.2576228	20.53076632
Gene35	10.27257193	14.51711069	13.67063466	15.39197172	13.4988644	12.53599826
Gene36	1.230432146	1.335159211	1.281579532	0.975571373	0.855191407	0.863097628
Gene37	2.105335685	2.12880737	2.290242914	2.31333527	2.164777652	2.435031036
Gene38	79.21397861	81.18377735	77.19818631	81.82379431	79.83893089	76.55265785
Gene39	8.132510197	7.492876311	6.970690849	8.73111563	7.744922702	7.532498824
Gene40	0.753541506	0.838451324	1.001006155	0.997615243	0.600004389	0.953830444
Gene41	0.325474038	0.300163222	0.350076442	0.200246949	0.210146915	0.095952132
Gene42	0.797210892	1.095734086	0.763174744	0.803602557	0.350764201	0.819750565
Gene43	0.574330283	0.683113398	0.591644997	0.388098005	0.326505086	0.433757472
Gene44	14.18531584	14.51019448	14.12013746	10.24852315	9.985407226	10.42543915
Gene45	0.265364899	0.17134202	0.109452626	0.28149816	0.482285689	0.382929656
Gene46	10.90673575	11.4064791	11.37921572	10.63105268	10.69211442	10.73717544
Gene47	5.665169221	5.944891692	5.530583178	5.948818516	5.766010906	5.889716259
Gene48	2.109194135	2.179295654	2.348260137	2.45424172	2.342743661	2.413231295
Gene49	0.004976574	0.00442388	0.006059272	0.02540674	0.031589515	0.065821449
Gene50	0.578367876	0.886173126	0.713324361	0.22213345	0.185986548	0.272359076
