	Group2	Class2
Gene1	G1	C1
Gene2	G1	C1
Gene3	G1	C1
Gene4	G1	C1
Gene5	G1	C1
Gene6	G1	C1
Gene7	G1	C1
Gene8	G1	C1
Gene9	G1	C1
Gene10	G1	C1
Gene11	G1	C2
Gene12	G1	C2
Gene13	G1	C2
Gene14	G1	C2
Gene15	G1	C2
Gene16	G1	C2
Gene17	G1	C2
Gene18	G1	C2
Gene19	G1	C2
Gene20	G1	C2
Gene21	G1	C2
Gene22	G1	C2
Gene23	G1	C2
Gene24	G1	C2
Gene25	G1	C2
Gene26	G1	C2
Gene27	G1	C2
Gene28	G1	C2
Gene29	G1	C2
Gene30	G1	C2
Gene31	G2	C2
Gene32	G2	C2
Gene33	G2	C2
Gene34	G2	C2
Gene35	G2	C3
Gene36	G2	C3
Gene37	G2	C3
Gene38	G2	C3
Gene39	G2	C3
Gene40	G2	C3
Gene41	G2	C3
Gene42	G2	C3
Gene43	G2	C3
Gene44	G2	C3
Gene45	G2	C3
Gene46	G2	C3
Gene47	G2	C3
Gene48	G2	C3
Gene49	G2	C3
Gene50	G2	C3
